series_id	status	title	reason
790	not_found	Death Trance	SparkManga search returned no usable /manga/ candidate.
791	not_found	Death Song	Candidates existed, but none reached the safe match threshold.
792	not_found	Dr. Psyche	SparkManga search returned no usable /manga/ candidate.
793	not_found	Digimortal	Candidates existed, but none reached the safe match threshold.
794	ambiguous	D-Live!!	Multiple or borderline candidates; no mapping was guessed.
795	ambiguous	DOLL	Multiple or borderline candidates; no mapping was guessed.
796	not_found	D no Fuuin	SparkManga search returned no usable /manga/ candidate.
797	not_found	Dr. Chanbelee	SparkManga search returned no usable /manga/ candidate.
798	not_found	Dead Heads	SparkManga search returned no usable /manga/ candidate.
800	not_found	Duds Hunt	SparkManga search returned no usable /manga/ candidate.
801	not_found	Door to Heaven	SparkManga search returned no usable /manga/ candidate.
802	not_found	Doraemon (MATSUMOTO Taiyou)	SparkManga search returned no usable /manga/ candidate.
803	not_found	Senryuu Shoujo	SparkManga search returned no usable /manga/ candidate.
804	not_found	Dirty Work	SparkManga search returned no usable /manga/ candidate.
805	not_found	Do Your Best, Chrono-kun!	SparkManga search returned no usable /manga/ candidate.
806	not_found	Did I do Something Wrong?	SparkManga search returned no usable /manga/ candidate.
847	not_found	Fujimi Lovers	SparkManga search returned no usable /manga/ candidate.
858	not_found	Full Moon Joker	SparkManga search returned no usable /manga/ candidate.
862	ambiguous	From Hell	Multiple or borderline candidates; no mapping was guessed.
865	ambiguous	Fly High! (MITSUKI Kako)	Spark slug is already mapped to series_id=845.
875	not_found	Funny Money	SparkManga search returned no usable /manga/ candidate.
881	ambiguous	Forever	Multiple or borderline candidates; no mapping was guessed.
882	not_found	Foolish Beast, Reach Decision	SparkManga search returned no usable /manga/ candidate.
907	ambiguous	Goong	Multiple or borderline candidates; no mapping was guessed.
915	ambiguous	Gyo	Multiple or borderline candidates; no mapping was guessed.
918	ambiguous	Gon	Multiple or borderline candidates; no mapping was guessed.
924	ambiguous	Goth	Multiple or borderline candidates; no mapping was guessed.
925	ambiguous	Garasu Bijin	Multiple or borderline candidates; no mapping was guessed.
965	ambiguous	Himitsu no Himegimi Uwasa no Ouji	Multiple or borderline candidates; no mapping was guessed.
973	not_found	Honggane	SparkManga search returned no usable /manga/ candidate.
977	ambiguous	Hal	Multiple or borderline candidates; no mapping was guessed.
988	not_found	Hidarite no Love Letter	SparkManga search returned no usable /manga/ candidate.
989	not_found	Heart Assassin	SparkManga search returned no usable /manga/ candidate.
990	not_found	Hirunaka Shikkaku	Candidates existed, but none reached the safe match threshold.
991	not_found	Haru no Ogawa wa Dokidoki Suru yo	SparkManga search returned no usable /manga/ candidate.
997	not_found	Halloween Town - Party Time!!	SparkManga search returned no usable /manga/ candidate.
1017	ambiguous	Hope	Multiple or borderline candidates; no mapping was guessed.
1026	not_found	Hatarakanai Futari	SparkManga search returned no usable /manga/ candidate.
1027	ambiguous	Home	Multiple or borderline candidates; no mapping was guessed.
1028	not_found	Hug!	Candidates existed, but none reached the safe match threshold.
1030	not_found	Hanasaki Sentimental	SparkManga search returned no usable /manga/ candidate.
1031	ambiguous	Hiki	Multiple or borderline candidates; no mapping was guessed.
1044	ambiguous	Hajime	Multiple or borderline candidates; no mapping was guessed.
1061	not_found	Illegal Rare	SparkManga search returned no usable /manga/ candidate.
1068	ambiguous	Ibitsu	Multiple or borderline candidates; no mapping was guessed.
1071	not_found	I Love You Baby	SparkManga search returned no usable /manga/ candidate.
1074	ambiguous	Ichi	Multiple or borderline candidates; no mapping was guessed.
1091	not_found	Itsuya-san	SparkManga search returned no usable /manga/ candidate.
1092	not_found	Itou Junji no Neko Nikki: Yon & Mu	SparkManga search returned no usable /manga/ candidate.
1099	not_found	I Am a Piano	SparkManga search returned no usable /manga/ candidate.
1100	not_found	I Got Myself a Little Sister	SparkManga search returned no usable /manga/ candidate.
1102	ambiguous	Ippo	Multiple or borderline candidates; no mapping was guessed.
1103	ambiguous	Iguana no Musume	Multiple or borderline candidates; no mapping was guessed.
1106	not_found	Junai Tokkou Taichou!	Candidates existed, but none reached the safe match threshold.
